programCodeInfo,transactionId,transactionTotal,transactionType,sellAccountNumber,sellAccountName,sellAccountType,sellFacilityName,sellFacilityId,sellState,sellEpaRegion,sellSourceCategory,sellOwner,buyAccountNumber,buyAccountName,buyAccountType,buyFacilityName,buyFacilityId,buyState,buyEpaRegion,buySourceCategory,buyOwner,transactionDate,vintageYear,startBlock,endBlock,totalBlock
ARP,2270,24260,Private Transfer,4050000004,Edgewater (4050),Unit Account,Edgewater (4050),4050,WI,5,Electric Utility,Wisconsin Power & Light Company|Wisconsin Public Service Corporation,4072000008,Pulliam,Unit Account,Pulliam,4072,WI,5,Electric Utility,Wisconsin Public Service Corporation,1994-05-25,1995,5580599,5585310,4712
ARP,2270,24260,Private Transfer,4050000004,Edgewater (4050),Unit Account,Edgewater (4050),4050,WI,5,Electric Utility,Wisconsin Power & Light Company|Wisconsin Public Service Corporation,4072000008,Pulliam,Unit Account,Pulliam,4072,WI,5,Electric Utility,Wisconsin Public Service Corporation,1994-05-25,1996,5580599,5585310,4712
